id	surface	gloss	level
8446	개선하다	To renovate or  to improve	C
8451	개성	Individuality or personality	C
8532	개월	Each and every month	A
8538	개인	Private or  individual	B
8585	개인적	Private or  personal	B
8781	객관적	Objective	C
8889	걔	Child	B
8891	거	That thing	A
8892	거	That thing	A
8905	거기	There (location)	A
8919	거꾸로	Backwards or  bottom up or  the wrong way	C
8964	거대하다	Huge or  gigantic or  enormous	C
8972	거두다	Collect or  gather up	C
8991	거들다	Help or  assist or  lend	C
8996	거듭	Again or  over and over	C
9036	거리	A road or street	A
9037	거리	Materials	B
9038	거리	Distance	C
9092	거부하다	Deny or  reject or  disapprove	C
9163	거실	Living room	B
9166	거액	A large sum of money	C
9174	거울	1) mirror  2) a pattern or  model or  exemplar	A
9190	거의	Almost or  nearly	B
9229	거절하다	Refuse or  reject	C
9254	거짓	Fabrication or  fiction	B
9266	거짓말	A lie or  falsehood	B
9306	거치다	Pass or go through	C
9314	거칠다	Coarse (texture) or  wild (behavior) or  (rain and wind) rough or  wild	C
9326	거품	Bubble	C
9359	걱정	Worry	A
9362	걱정되다	To become worried, to be worried	B
9366	걱정스럽다	Anxious or  uneasy	B
9370	걱정하다	To worry or  be anxious	A
9374	건	A matter or  an object or  a case	C
9382	건강	Health	A
9423	건강하다	To be healthy	A
9443	건너	The other or  opposite side	C
9446	건너가다	To cross or  go over (river or  street)	B
9447	건너다	Go over or  go across	B
9450	건너오다	To come across to this side of something	B
9453	건너편	The opposite side	B
9454	건넌방	The room opposite the main living room	C
9460	건네다	Speak to a person or  address	C
9462	건네주다	To pass over or  to put on the other side (of a river)	C
9475	건드리다	1) touch or  jog  2) irritate or  vex	C
9497	건물	Building	A
9524	건설	Construction	C
9528	건설되다	To become constructed	C
9540	건설하다	To construct or  erect	C
9570	건전하다	to be healthy or sound or have vitality	C
9573	건조	Dryness or  aridity	C
9584	건조하다	Ry or  arid or  become dry	C
9590	건지다	Take or bring out of the water or  2) rescue a person from danger	B
9614	건축	Construction or  building or  erection	B
9662	걷기	Walking	C
9665	걷다	To walk	A
9666	걷다	1) Roll back /up one's sleeves  2)fold or  furl up  3) finish work	C
9667	걷다	Walk on or  tread on	C
9683	걸다	Hang up or  suspend	A
9698	걸리다	To be hung up or  suspended	B
9725	걸어가다	To go on foot or  walk	A
9739	걸어오다	Come on foot or  walk	A
9745	걸음	Walking or  stepping or  a step	B
9763	걸치다	1) put a thing over or across 2) to range from A to B	C
9797	검다	Black or  dark	B
9827	검사	A public prosecutor	C
9828	검사	an investigation or inspection or  examination or  audit, a test	B
9904	검은색	black	A
9937	검토	An examination or investigation or  study	C
9948	겁	Fear or  fright	B
9956	겁나다	Be frightened or  scared	C
9988	것	A thing or  an object	A
9992	겉	The outer surface	B
10052	게	A crab	C
10071	게다가	In addition	B
10098	게시판	A notice board or  a bulletin board	C
10112	게으르다	Lazy	C
10143	게임	Game	A
10191	겨우	Barely or  narrowly.  간신히	B
10194	겨울	Winter	A
10207	겨울철	The winter season	B
10211	겨자	Mustard	C
10395	겪다	Experience or  undergo or  suffer; (2) to entertain guests (3) to spend time with a person	C
10419	견디다	Endure or  bear	B
10535	견해	An opinion or  view.  Same as 의견	C
10548	결과	Result	B
10568	결과적	of a result	C
10571	결국	After all or  in the end	B
10590	결론	A conclusion	C
10639	결석	Absent	C
10646	결석하다	To be absent	C
10660	결승	The decision of the final round of a contest	C
10676	결심	Determination or  resolution	C
10679	결심하다	To resolve or be determined	B
10736	결정	A decision or  determination	B
10746	결정되다	To become decided	B
10784	결정하다	To decide	B
10807	결코	Never or  by no means	C
10862	결혼	Marriage	A
10894	결혼식	Wedding	A
10908	결혼하다	Get married	A
11006	경계	a boundary, the boundary	C
11019	경고	Warning	C
11028	경고하다	To warn	C
11060	경기	The business market's state	C
11061	경기	Race or  match or  contest	B
11066	경기도	Region surrounding seoul	D
11075	경기장	Sports stadium or  a sports field	B
11102	경력	one's personal career/work history	C
11195	경복궁	a palace in 종로 in 서울	D
11202	경비	Expenses or  outlay	C
11250	경상도	Kyung-San-Do province (ulsan or kyungju)	B
11310	경영	Management or  administration	B
11329	경영하다	To manage or  adminster	C
11342	경우	A case or  an instance	B
11388	경쟁	Competition or  rivalry	C
11393	경쟁력	Competitiveness	C
11421	경제	Economy	B
11453	경제력	Economic power	C
11475	경제적	Economical	B
11487	경제학	Economics	C
11503	경주	Region surrounding seoul	D
11554	경찰	The police (경계하여 실핌). same as 경찰관	A
11556	경찰관	a policeman	A
11563	경찰서	A police station	A
11592	경치	A scene or  scenery	A
11627	경향	Tendency or  trend	C
11633	경험	Experience or  undergo or  suffer	B
11659	경험하다	To experience or  go through	B
11685	곁	Neighborhood or  vicinity	B
11714	계곡	A valley or  gorge	C
11764	계단	A staircase or  a set of stairs	B
11774	계란	An egg	A
11829	계산	Calculation	B
11837	계산기	Calculator	B
11868	계산하다	To calculate	B
11880	계속	Continuously	A
11881	계속되다	To continue	B
11890	계속하다	To continue	B
11915	계시다	(someone esteemed) to stay or  be located	A
11916	계시다	(honorofic) to stay or  reside	A
11923	계약	Contract	B
11975	계절	a season of the year	A
11987	계좌	Account	C
12009	계층	A class or social stratum ; a network layer	C
12029	계획	A plan or  a project	A
12042	계획하다	Plan or  make a project	B
12079	고개	The nape of the neck	B
12080	고개	the peak or crest (of a hill)	C
12083	고객	Customer	B
12123	고교	High school	B
12127	고구려	one of the 3 ancient Korean kingdoms, founded in 37 BC by 동명왕 주몽	D
12128	고구마	Sweet potato	B
12131	고궁	An ancient palace	C
12145	고급	High rank or  first class	B
12171	고급스럽다	To be high-class	C
12183	고기	Meat	A
12347	고등학교	A senior high school	A
12348	고등학생	High school student	A
12387	고려	ancient Korean dynasty	D
12395	고려하다	Regard or respect	B
12410	고르다	Choose or  select	B
12411	고르다	Flat or  even; to make size, height, volume the same; to flatten, make level	B
12465	고맙다	To thank	A
12475	고모	A paternal aunt	B
12476	고모부	The husband of one's paternal aunt	B
12490	고무신	Rubber shoes	C
12533	고민	Worry or  anguish	B
12539	고민하다	Be in anguish or  worried	B
12627	고생	A hard life or  privation	B
12642	고생하다	To suffer or  to have trials ; to do something you don't want to do, 하고 싶자 않은 것	B
12671	고소하다	Taste of sesame oil or  taste of a nut	C
12675	고속	High speed	B
12697	고속도로	Freeway or  highway with no street lights	B
12700	고속버스	Bus for the freeway	B
12785	고양이	Kitten	A
12834	고요하다	Be quiet or silent or still	C
12909	고작	To be at the highest or  the best	C
12910	고장	A district or  producing area	B
12911	고장	Broken, a breakdown, equipment failure	B
12928	고전	A classic in literature	C
13035	고집	Persistence or  stubborness	C
13055	고집하다	To be stubborn or  persistent	C
13104	고추	Red pepper	B
13109	고추장	red pepper paste	B
13111	고춧가루	red pepper powder	B
13138	고치다	To fix, amend, change	B
13153	고통	Suffering or  agony	B
13164	고통스럽다	Be painful or  torment	C
13183	고프다	Hungry or  famished	A
13192	고함	A shout or  yell	C
13216	고향	Hometown, where you are originally from	A
13241	곡	A tune or  an air	C
13283	곡식	Cereals or  grain	C
13358	곤란하다	Difficulty or  trouble	C
13399	곧	Soon	A
13410	곧다	Be straight or upright or  erect	C
13411	곧바로	At once or  straight away	B
13417	곧이어	Soon hereafter	C
13418	곧잘	1) fairly or  pretty well 2) frequently or  too often	C
13421	곧장	Directly or  straightforwardly ; to do something straight away	C
13425	골	Goal	C
13436	골고루	Evenly or  among all indiscriminately	C
13470	골목	A side street or  alley	B
13471	골목길	An alley	B
13509	골짜기	A valley or  gorge	C
13512	골치	Worry or  anxiety	C
13534	골프	Golf	B
13538	골프장	Golf course	B
13560	곰	Bear	B
13591	곱다	Beautiful	B
13623	곳	Place	A
13625	곳곳	Everywhere	B
13628	공	Ball	A
13637	공간	Space or  room	B
13665	공개	opening to the public, making public	C
13687	공개하다	Open to the public	C
13691	공격	Attack	C
13698	공격하다	To attack	C
13711	공공	The public or  the common	C
13763	공군	The air force	C
